,atom_num,x,y,z,LJ_CO2,LJ_frame,Elec_CO2,Elec_frame,Total_pot
0,28.0,54.528,13.521,1.177,0.3637571546956475,6.318411348823855,-16.980332756182825,-80.98356809457215,-91.28173234723548
0,29.0,55.659,13.759,1.272,0.3916231228995504,3.032233361342024,33.41704430102883,196.72131837327495,233.56221915854536
0,30.0,56.791,13.997,1.366,1.5754711512442134,5.837839839307174,-13.927029056622613,-101.02428218296849,-107.53800024903971
0,31.0,61.841,56.59,46.598,0.1560254442042309,3.601476624018827,-39.75342886121162,21.397987673182982,-14.597939119805574
0,32.0,61.649,55.976,45.632,0.04429149294645799,2.8518377852572545,79.58521607401045,-73.18407697359478,9.297268378619378
0,33.0,61.457,55.361,44.667,0.08018584692357993,-6.626063138233391,-39.892712921059235,91.75698385146737,45.31839363909832
0,34.0,29.833,31.471,15.823,0.7310481306009007,4.51780116764347,-23.045760790287765,-71.92183688595605,-89.71874837799945
0,35.0,30.896,31.859,15.57,0.5053032951789196,1.7492751304139085,50.959628515227735,225.99074828360176,279.2049552244223
0,36.0,31.96,32.247,15.317,0.8185168288010511,1.9791471380857995,-27.879544804046933,-128.66141303250828,-153.74329386966835
0,37.0,50.844,6.034,3.86,0.6547882535128962,1.9380149923900378,-20.765609185161424,-119.56057141105401,-137.7333773503125
0,38.0,49.884,6.68,3.944,0.6721569137348599,2.128738394754911,45.39865291868917,206.18995885221028,254.38950707938923
0,39.0,48.923,7.325,4.029,0.6481499510425149,-2.3981488923819194,-23.817114245139145,-50.959491726227164,-76.52660491270572
0,40.0,41.565,17.164,3.966,0.46688657692664776,0.3165801358873171,-18.56357459569099,-53.249824838964315,-71.02993272184133
0,41.0,42.391,17.746,4.535,0.32039838372804524,2.3374849725667057,40.950199875522486,205.68179673807222,249.28987996988945
0,42.0,43.217,18.329,5.104,0.8133065786286302,2.4904931511260786,-21.692438818903707,-119.3945590910171,-137.7831981801661
0,43.0,67.602,29.557,48.257,1.6936901768371473,4.900017548775759,-38.07693637411662,28.5115484165258,-2.97168023197791
0,44.0,66.996,28.657,47.847,0.9279405631445372,1.4755752333787615,77.82340490173425,20.492009778774744,100.71893047703229
0,45.0,66.39,27.757,47.437,1.7184401536488452,1.3930908120971512,-40.66043352302973,-25.91789747731509,-63.46680003459882
0,46.0,58.134,37.066,15.463,1.238567283229112,-6.065020252892582,-26.307158797921563,2.0682030728526093,-29.065408694732426
0,47.0,57.176,36.425,15.595,0.4804074290474527,2.536789631247533,57.81025503468365,107.04380846542438,167.87126056040302
0,48.0,56.219,35.783,15.727,0.5336119591236427,2.4078180045615984,-29.83857495064878,-73.37401095247252,-100.27115593943606
0,49.0,51.623,52.727,29.573,0.12551751025106903,1.560483301714148,-33.19129806981302,-85.60490722202059,-117.11020447986839
0,50.0,52.13,51.878,30.179,0.05932728465454373,1.7867791203018086,66.17219826752842,133.9075898852228,201.92589455770758
0,51.0,52.638,51.03,30.786,0.13682169815379724,-2.592964811353586,-33.214627821698315,-20.346198609228612,-56.01696954412671
0,52.0,80.632,33.557,8.54,0.00893187448215537,2.714663618675333,-32.923455963753206,-174.00934986598375,-204.20921033657947
0,53.0,80.459,34.667,8.251,0.005101020868710533,2.260184076742411,62.8537251806216,308.7027040979283,373.821714376161
0,54.0,80.285,35.777,7.961,0.015328978141182179,1.840872237447078,-30.130686071251642,-106.71022006068068,-134.98470491634407
0,55.0,27.001,29.477,6.696,0.0904097058259326,4.1572703950639776,-15.061224150776876,-166.10466862360488,-176.91821267349184
0,56.0,26.838,30.461,6.103,0.059652931150023944,2.4565685287111707,29.303437852865187,317.3628308112357,349.1824901239621
0,57.0,26.675,31.444,5.51,0.19427947248776298,0.1313660395152806,-14.044753798116917,-129.2817921639503,-143.0009004500642
0,58.0,39.76,14.702,29.607,0.28272990091907774,-8.162013265931881,-29.200002141466594,10.060031688140402,-27.019253818338992
0,59.0,39.073,14.977,28.714,0.3012570410931701,2.488143279297472,58.42327617251417,94.44679070211915,155.65946719502395
0,60.0,38.385,15.253,27.821,1.2058874376742021,3.1631430513331917,-29.518420337929573,-65.27257568856793,-90.42196553749011
0,61.0,52.762,35.988,29.514,0.768950566038202,5.040293872237732,-34.14082718963704,-0.24135868387322484,-28.57294143523433
0,62.0,52.361,35.765,28.448,0.27156477850111926,2.190089493334457,69.75573697817974,94.90043109764049,167.11782234765582
0,63.0,51.961,35.542,27.383,0.3248864584045735,2.2352581341777595,-34.55945850156223,-65.3908142776102,-97.3901281865901
0,64.0,15.475,9.532,9.455,0.4521180526242196,6.170367204920759,-13.69464343061015,-168.46124354092277,-175.53340171398793
0,65.0,15.699,9.97,8.404,0.3779803118133312,3.5270007970512096,26.9033110237248,353.06491589606253,383.87320802865185
0,66.0,15.922,10.407,7.354,2.0089567058464475,6.848332636758315,-11.43888807376997,-180.01223425594551,-182.59383298711072
0,67.0,45.666,13.457,7.206,1.6140234861887657,4.042608669657225,-24.081117334523217,-100.8821513374518,-119.30663651612903
0,68.0,45.394,14.263,6.417,0.9345814543828844,2.7353719083712806,50.70518803795741,231.59419839022402,285.9693397909356
0,69.0,45.122,15.069,5.628,1.646163296716106,3.3067242053208368,-24.270975924622714,-123.1885433551457,-142.50663177773146
0,70.0,113.453,60.407,42.387,0.35734860819514597,0.530820001877204,-43.243880690722875,-302.6258429493803,-344.9815550300308
0,71.0,113.534,61.301,43.121,0.1753378098141338,1.7517018158059983,88.72073138666545,505.2613533099193,595.9091243222049
0,72.0,113.615,62.196,43.855,0.43917897823544205,2.210489855951245,-45.54854514778209,-210.40553172612206,-253.3044080397175
0,73.0,59.122,48.165,33.54,0.1547216281119327,1.910725595316205,-36.69765663673294,6.782175303800868,-27.85003410950393
0,74.0,59.944,47.914,32.761,0.04824667372294219,2.343249078689016,72.66921131395232,78.02292010000933,153.08362716637362
0,75.0,60.766,47.663,31.982,0.08243642435653195,2.599507438996567,-36.00094585861704,-55.15271096164623,-88.47171295691017
0,76.0,67.55,21.618,8.192,1.337088341314951,3.681993826958132,-22.65856397879986,-52.01300780117537,-69.65248961170215
0,77.0,66.512,21.927,7.777,0.5704165949541846,1.7353383280979375,48.705976109170805,134.33847467607322,185.35020570829613
0,78.0,65.474,22.237,7.361,0.5029622397362981,1.7550198144627145,-25.11353246150556,-82.09939726473796,-104.95494767204451
0,79.0,89.394,60.887,37.822,0.0484310531634433,-0.7364432176797313,-39.32427245854597,55.349991445551765,15.337706822489508
0,80.0,88.577,61.326,38.518,0.0178703754199118,1.732858882855724,77.69073943116108,-54.01850148230284,25.42296720713388
0,81.0,87.76,61.765,39.215,0.03460597524829404,1.6798167501108958,-38.47490797842166,26.045495044571666,-10.714990208490804
0,82.0,56.127,18.683,10.393,0.9604733437145008,1.9140687394172533,-30.02452387931486,-67.3001913799447,-94.4501731761278
0,83.0,56.967,18.399,9.646,0.4158036120320943,2.096467501587512,57.684443349229745,97.14270671784742,157.33942118069677
0,84.0,57.808,18.115,8.899,0.5770827675672894,0.8154441838833104,-26.87471440011328,0.19194612484406737,-25.290241323818613
0,85.0,61.635,42.498,23.769,0.017192973459004147,2.2264920932566707,-32.767828983434015,-76.6006920636523,-107.12483598037065
